artifact,archive_path,source_phase,scientific_source,inventory_key,source_relative_path,source_absolute_path,source_exists
Figure 1,publication/figures/Figure_1_ITF_Validation.png,Phase2D v1.1/v1.2,ITF canonical validation,phase4_1_v11,figures/Figure_1_ITF_Validation.png,/Users/muliddin/Downloads/Phase4.1_v1.1_Final_Publication_Set/figures/Figure_1_ITF_Validation.png,True
Figure 2,publication/figures/Figure_2_ENSO_IOD_to_ITF.png,Phase3A v1.1,positive-lag freeze,phase4_1_v11,figures/Figure_2_ENSO_IOD_to_ITF.png,/Users/muliddin/Downloads/Phase4.1_v1.1_Final_Publication_Set/figures/Figure_2_ENSO_IOD_to_ITF.png,True
Figure 3,publication/figures/Figure_3_Seasonal_Event_Structure.png,Phase3A Stage2 v1.1,seasonal/event robustness,phase4_1_v11,figures/Figure_3_Seasonal_Event_Structure.png,/Users/muliddin/Downloads/Phase4.1_v1.1_Final_Publication_Set/figures/Figure_3_Seasonal_Event_Structure.png,True
Figure 4,publication/figures/Figure_4_ITF_Atmosphere_Banda_Coupling.png,Phase3B v1.0/v1.1,coupling and directionality,phase4_1_v11,figures/Figure_4_ITF_Atmosphere_Banda_Coupling.png,/Users/muliddin/Downloads/Phase4.1_v1.1_Final_Publication_Set/figures/Figure_4_ITF_Atmosphere_Banda_Coupling.png,True
Figure 5,publication/figures/Figure_5_Integrated_Synthesis.png,Phase3C + Phase4,mediation constraint and synthesis,phase4_1_v11,figures/Figure_5_Integrated_Synthesis.png,/Users/muliddin/Downloads/Phase4.1_v1.1_Final_Publication_Set/figures/Figure_5_Integrated_Synthesis.png,True
Table 1,publication/tables/Table_1_ITF_validation_summary.csv,Phase2D,transport validation,phase4_1_v11,tables/Table_1_ITF_validation_summary.csv,/Users/muliddin/Downloads/Phase4.1_v1.1_Final_Publication_Set/tables/Table_1_ITF_validation_summary.csv,True
Table 2,publication/tables/Table_2_Core_ENSO_IOD_ITF_findings.csv,Phase3A v1.1,core frozen lag findings,phase4_1_v11,tables/Table_2_Core_ENSO_IOD_ITF_findings.csv,/Users/muliddin/Downloads/Phase4.1_v1.1_Final_Publication_Set/tables/Table_2_Core_ENSO_IOD_ITF_findings.csv,True
Table 3,publication/tables/Table_3_Seasonal_and_Banda_Coupling_Synthesis.csv,Phase3A/3B,seasonal + Banda synthesis,phase4_1_v11,tables/Table_3_Seasonal_and_Banda_Coupling_Synthesis.csv,/Users/muliddin/Downloads/Phase4.1_v1.1_Final_Publication_Set/tables/Table_3_Seasonal_and_Banda_Coupling_Synthesis.csv,True
