source,use,url
INSTANT project,section anchors and passage geometry,https://ocp.ldeo.columbia.edu/res/div/ocp/projects/instant/projectDescription.html
Gordon et al. 2008,Makassar benchmark,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2008GL036372
Sprintall et al. 2009,Lombok/Ombai/Timor benchmarks,https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2008JC005257
Fritz et al. 2023,reanalysis skill and section/bathymetry sensitivity,https://os.copernicus.org/articles/19/1203/2023/
